171-D-bug-5093365-5093369,10,6837,20,9,8,9,9,2,2,manual,NOREPAIR,32,,,,autogen,NOREPAIR,75,,,
171-D-bug-6192796-6192802,10,809,20,11,11,6,6,2,2,manual,NOREPAIR,73,,,,autogen,NOREPAIR,161,,,
171-F-bug-5237750-5237782,10,23,20,18,17,51,31,30,20,manual,TIMEOUT,0,,,,autogen,TIMEOUT,0,,,
171-F-bug-5237777-5237782,10,26,20,19,18,51,45,30,25,manual,NOREPAIR,959,,,,autogen,TIMEOUT,0,,,
172-B-bug-1470030-1470076,10,22,20,20,18,66,36,37,36,manual,NOREPAIR,54,,,,autogen,NOREPAIR,81,,,
172-B-bug-2096087-2096089,10,103,20,15,4,60,59,6,5,manual,REPAIR,48,56,56,56,autogen,TIMEOUT,0,,,
172-B-bug-5785935-5785981,10,20,20,17,17,66,40,6,5,manual,NOREPAIR,370,,,,autogen,NOREPAIR,344,,,
177-B1-bug-13511622-13511662,10,57,20,13,11,34,31,7,4,manual,REPAIR,29,26,26,26,autogen,REPAIR,159,26,26,26
177-B1-bug-3817879-3817882,10,33,20,19,18,34,34,7,7,manual,REPAIR,32,26,26,26,autogen,NOREPAIR,27,,,
177-B2-bug-1597105-1597275,10,1644,20,8,0,83,80,3,0,manual,NOREPAIR,315,,,,autogen,NOREPAIR,334,,,
18-B-bug-15989356-15989429,10,88,20,20,5,45,30,12,3,manual,REPAIR,19,35,35,35,autogen,REPAIR,81,35,35,35
185-A-bug-1914012-1914022,10,46,20,15,14,52,38,21,19,manual,NOREPAIR,599,,,,autogen,NOREPAIR,1823,,,
189-A-bug-17294544-17294560,10,24,20,18,17,65,39,12,11,manual,REPAIR,644,37,57,57,autogen,NOREPAIR,630,,,
189-A-bug-18155547-18155577,10,29,20,18,13,63,41,43,21,manual,NOREPAIR,157,,,,autogen,NOREPAIR,1131,,,
189-B-bug-1682083-1682218,10,31,20,16,16,31,29,22,22,manual,TIMEOUT,0,,,,autogen,TIMEOUT,0,,,
189-B-bug-17295034-17295064,10,29,20,18,16,30,21,21,21,manual,TIMEOUT,0,,,,autogen,TIMEOUT,0,,,
189-B-bug-1813700-1813718,10,46,20,25,13,27,16,13,3,manual,NOREPAIR,72,,,,autogen,NOREPAIR,60,,,
189-B-bug-18252831-18252846,10,33,20,22,14,30,16,9,2,manual,NOREPAIR,4,,,,autogen,NOREPAIR,142,,,
194-A-bug-13226735-13226747,10,31,20,17,16,44,28,19,3,manual,NOREPAIR,293,,,,autogen,NOREPAIR,704,,,
194-A-bug-15491486-15491518,10,82,20,2,2,43,28,14,7,manual,NOREPAIR,49,,,,autogen,NOREPAIR,82,,,
194-A-bug-7939649-7939655,10,21,20,17,17,44,20,19,19,manual,NOREPAIR,5,,,,autogen,NOREPAIR,30,,,
198-A-bug-9617580-9617604,10,56,20,3,0,125,55,20,3,manual,NOREPAIR,0,,,,autogen,TIMEOUT,0,,,
198-A-bug-9623083-9623097,10,149,20,6,0,125,71,20,1,manual,NOREPAIR,611,,,,autogen,TIMEOUT,0,,,
198-A-bug-9624645-9624725,10,61,20,18,10,189,179,13,9,manual,NOREPAIR,247,,,,autogen,NOREPAIR,35,,,
198-A-bug-9683801-9684235,10,63,20,7,4,125,106,20,5,manual,REPAIR,1688,96,114,114,autogen,TIMEOUT,0,,,
198-A-bug-9705111-9705146,10,76,20,7,4,125,101,26,2,manual,TIMEOUT,0,,,,autogen,TIMEOUT,0,,,
201-A-bug-15335569-15335588,10,24,20,18,18,109,90,2,2,manual,NOREPAIR,40,,,,autogen,NOREPAIR,16,,,
201-A-bug-1881498-1881520,10,375,20,0,0,107,105,2,2,manual,TIMEOUT,0,,,,autogen,TIMEOUT,0,,,
201-A-bug-1881517-1881520,10,403,20,39,4,104,89,22,7,manual,REPAIR,614,72,100,100,autogen,REPAIR,958,88,100,100
202-C-bug-1847611-1847612,10,896,20,4,4,107,107,2,2,manual,NOREPAIR,321,,,,autogen,NOREPAIR,332,,,
203-A-bug-16588171-16589375,10,41,20,0,0,95,69,3,3,manual,NOREPAIR,0,,,,autogen,NOREPAIR,0,,,
203-A-bug-8218947-8218974,10,34,20,9,5,54,41,16,6,manual,REPAIR,49,34,36,51,autogen,NOREPAIR,411,,,
204-A-bug-10222131-10222140,10,25,20,17,15,69,32,31,7,manual,NOREPAIR,0,,,,autogen,NOREPAIR,334,,,
204-A-bug-1996403-1996411,10,51,20,9,7,76,69,3,3,manual,NOREPAIR,0,,,,autogen,NOREPAIR,0,,,
204-A-bug-2022696-2022698,10,111,20,11,5,72,64,10,3,manual,NOREPAIR,0,,,,autogen,NOREPAIR,128,,,
214-A-bug-15257318-15257535,10,1362,20,12,8,66,66,2,2,manual,NOREPAIR,0,,,,autogen,NOREPAIR,43,,,
214-A-bug-15386379-15386411,10,656,20,6,6,66,66,2,2,manual,NOREPAIR,0,,,,autogen,NOREPAIR,0,,,
214-A-bug-16587662-16587713,10,714,20,3,1,58,53,4,3,manual,NOREPAIR,0,,,,autogen,NOREPAIR,0,,,
214-A-bug-17293419-17293448,10,872,20,4,4,66,66,2,2,manual,TIMEOUT,0,,,,autogen,NOREPAIR,0,,,
1-A-bug-18353198-18353306,11,29,20,16,16,29,29,5,5,manual,NOREPAIR,13,,,,autogen,NOREPAIR,19,,,
104-A-bug-11691772-11691810,11,9305,6,402,0,29,28,3,2,manual,REPAIR,50,24,25,25,autogen,REPAIR,53,24,25,25
104-A-bug-11691779-11691810,11,5545,20,8,5,48,48,2,2,manual,REPAIR,7,21,25,25,autogen,REPAIR,823,25,25,25
104-A-bug-11691794-11691810,11,47,20,16,16,32,30,5,5,manual,NOREPAIR,9,,,,autogen,NOREPAIR,12,,,
104-A-bug-11939068-11939085,11,7839,6,15,0,47,47,2,2,manual,REPAIR,24,24,24,24,autogen,REPAIR,26,24,24,24
104-A-bug-13139540-13139570,11,35,20,17,17,32,20,5,5,manual,NOREPAIR,13,,,,autogen,NOREPAIR,14,,,
104-A-bug-14940180-14940203,11,3481,20,4,4,48,36,2,2,manual,REPAIR,15,25,25,25,autogen,REPAIR,19,25,25,25
104-A-bug-7900405-7900409,11,4131,20,6,6,48,46,2,0,manual,NOREPAIR,4,,,,autogen,REPAIR,19,16,25,25
11-B-bug-990723-990735,11,181,20,13,10,34,34,3,3,manual,NOREPAIR,493,,,,autogen,NOREPAIR,932,,,
110-A-bug-17970724-17970798,11,84,20,26,11,41,35,8,2,manual,NOREPAIR,153,,,,autogen,NOREPAIR,14,,,
110-A-bug-18223116-18223122,11,7509,8,578,2,38,28,13,3,manual,NOREPAIR,27,,,,autogen,NOREPAIR,4,,,
110-A-bug-18286939-18287093,11,24,20,18,18,38,36,6,4,manual,REPAIR,20,25,34,34,autogen,REPAIR,13,20,34,34
110-A-bug-18286951-18287093,11,20,20,18,18,38,36,6,4,manual,REPAIR,16,25,34,34,autogen,REPAIR,19,25,34,34
112-B-bug-1097813-1097818,11,118,20,1,0,38,26,14,2,manual,NOREPAIR,9,,,,autogen,NOREPAIR,14,,,
112-B-bug-668250-668255,11,158,20,15,15,36,22,2,2,manual,REPAIR,32,29,33,33,autogen,REPAIR,20,27,33,33
112-B-bug-770703-770719,11,112,20,0,0,42,32,5,5,manual,REPAIR,21,29,33,33,autogen,REPAIR,24,29,33,33
